"Мы заплатили 1500₽ за ремонт обуви.","Мы заплатили 1500 рублей за ремонт обуви."
"На покупку книги ушло 350₽.","На покупку книги ушло 350 рублей."
"Покупка набора для пикника обошлась в 1800₽.","Покупка набора для пикника обошлась в 1800 рублей."
"Стоимость аренды костюма составила 3000₽.","Стоимость аренды костюма составила 3000 рублей."
"Мы потратили 400₽ на выпечку для праздника.","Мы потратили 400 рублей на выпечку для праздника."
"На услуги фотографа ушло 8000₽ за одну съемку.","На услуги фотографа ушло 8000 рублей за одну съемку."
"Покупка набора кастрюль обошлась в 5700₽.","Покупка набора кастрюль обошлась в 5700 рублей."
"На покупку билетов в театр ушло 4500₽.","На покупку билетов в театр ушло 4500 рублей."
"Мы заплатили 120₽ за чашку кофе в кафе.","Мы заплатили 120 рублей за чашку кофе в кафе."
"Стоимость детской энциклопедии составила 1300₽.","Стоимость детской энциклопедии составила 1300 рублей."
"На оформление подарочного сертификата ушло 800₽.","На оформление подарочного сертификата ушло 800 рублей."
"Покупка набора кастрюль обошлась в 9400₽.","Покупка набора кастрюль обошлась в 9400 рублей."
"Стоимость подписки на научный журнал составила 3500₽.","Стоимость подписки на научный журнал составила 3500 рублей."
"Мы потратили 2700₽ на праздничный букет.","Мы потратили 2700 рублей на праздничный букет."
"На ремонт стиральной машины ушло 6800₽.","На ремонт стиральной машины ушло 6800 рублей."
"Покупка настольной лампы обошлась в 2200₽.","Покупка настольной лампы обошлась в 2200 рублей."
"Стоимость урока вокала составила 1500₽ за час.","Стоимость урока вокала составила 1500 рублей за час."
"Мы заплатили 50₽ за печать одной фотографии.","Мы заплатили 50 рублей за печать одной фотографии."
"На покупку ланч-бокса ушло 900₽.","На покупку ланч-бокса ушло 900 рублей."
"Покупка билетов на концерт обошлась в 8000₽.","Покупка билетов на концерт обошлась в 8000 рублей."
"Стоимость аренды спортивного инвентаря составила 1200₽.","Стоимость аренды спортивного инвентаря составила 1200 рублей."
"Мы потратили 300₽ на упаковку подарков.","Мы потратили 300 рублей на упаковку подарков."
"На услуги художника ушло 12000₽.","На услуги художника ушло 12000 рублей."
"Покупка нового телефона обошлась в 89000₽.","Покупка нового телефона обошлась в 89000 рублей."
"Стоимость аренды офисного помещения составила 45000₽.","Стоимость аренды офисного помещения составила 45000 рублей."
"Мы заплатили 700₽ за доставку продуктов на дом.","Мы заплатили 700 рублей за доставку продуктов на дом."
"На покупку новой сумки ушло 5100₽.","На покупку новой сумки ушло 5100 рублей."
"Покупка билетов на футбольный матч обошлась в 4000₽.","Покупка билетов на футбольный матч обошлась в 4000 рублей."
"Стоимость абонемента в бассейн составила 2400₽.","Стоимость абонемента в бассейн составила 2400 рублей."
"Мы потратили 580₽ на вкусные пирожные.","Мы потратили 580 рублей на вкусные пирожные."
"На покупку школьного рюкзака ушло 3200₽.","На покупку школьного рюкзака ушло 3200 рублей."
"Покупка нового пуховика обошлась в 14000₽.","Покупка нового пуховика обошлась в 14000 рублей."
"Стоимость обеда в ресторане составила 3500₽.","Стоимость обеда в ресторане составила 3500 рублей."
"Мы заплатили 260₽ за вход в музей.","Мы заплатили 260 рублей за вход в музей."
"На покупку набора ножей ушло 4200₽.","На покупку набора ножей ушло 4200 рублей."
"Покупка новой пары ботинок обошлась в 8700₽.","Покупка новой пары ботинок обошлась в 8700 рублей."
"Стоимость набора для макияжа составила 2900₽.","Стоимость набора для макияжа составила 2900 рублей."
"Мы потратили 600₽ на такси до вокзала.","Мы потратили 600 рублей на такси до вокзала."
"На услуги дизайнера ушло 15500₽.","На услуги дизайнера ушло 15500 рублей."
"Покупка набора бокалов обошлась в 2100₽.","Покупка набора бокалов обошлась в 2100 рублей."
"Стоимость подписки на потоковый сервис составила 800₽.","Стоимость подписки на потоковый сервис составила 800 рублей."
"Мы заплатили 150₽ за два литра минеральной воды.","Мы заплатили 150 рублей за два литра минеральной воды."
"На покупку новой клавиатуры ушло 4500₽.","На покупку новой клавиатуры ушло 4500 рублей."
"Покупка картриджей для принтера обошлась в 3700₽.","Покупка картриджей для принтера обошлась в 3700 рублей."
"Стоимость услуг автомойки составила 1100₽.","Стоимость услуг автомойки составила 1100 рублей."
"Мы потратили 220₽ на одну коробку конфет.","Мы потратили 220 рублей на одну коробку конфет."
"На заказ выездного фотографа ушло 16000₽.","На заказ выездного фотографа ушло 16000 рублей."
"Покупка новой мультиварки обошлась в 7300₽.","Покупка новой мультиварки обошлась в 7300 рублей."
"Стоимость проезда на автобусе составила 50₽.","Стоимость проезда на автобусе составила 50 рублей."
"Мы заплатили 300₽ за вход на выставку.","Мы заплатили 300 рублей за вход на выставку."
"На покупку корма для кота ушло 900₽.","На покупку корма для кота ушло 900 рублей."
"Покупка настенных часов обошлась в 4400₽.","Покупка настенных часов обошлась в 4400 рублей."
"Стоимость набора полотенец составила 2600₽.","Стоимость набора полотенец составила 2600 рублей."
"Мы потратили 200₽ на стики стикеров.","Мы потратили 200 рублей на стики стикеров."
"На услуги репетитора ушло 2000₽ за одно занятие.","На услуги репетитора ушло 2000 рублей за одно занятие."
"Покупка новой камеры видеонаблюдения обошлась в 12500₽.","Покупка новой камеры видеонаблюдения обошлась в 12500 рублей."
"На оплату детского кружка робототехники ушло 2500₽.","На оплату детского кружка робототехники ушло 2500 рублей."
"Мы заплатили 110₽ за одну поездку на общественном транспорте.","Мы заплатили 110 рублей за одну поездку на общественном транспорте."
"Покупка новой клавиатуры обошлась в 4200₽.","Покупка новой клавиатуры обошлась в 4200 рублей."
"Стоимость аренды комнаты в отеле составила 3000₽ за ночь.","Стоимость аренды комнаты в отеле составила 3000 рублей за ночь."
"На заказ фотокниги ушло 2900₽.","На заказ фотокниги ушло 2900 рублей."
"Мы потратили 500₽ на комплект носков.","Мы потратили 500 рублей на комплект носков."
"На покупку спортивного костюма ушло 6800₽.","На покупку спортивного костюма ушло 6800 рублей."
"Покупка новой спортивной сумки обошлась в 2100₽.","Покупка новой спортивной сумки обошлась в 2100 рублей."
"Стоимость праздничного торта составила 4000₽.","Стоимость праздничного торта составила 4000 рублей."
"Мы заплатили 350₽ за парковку на весь день.","Мы заплатили 350 рублей за парковку на весь день."
"На услуги фотографа ушло 15000₽.","На услуги фотографа ушло 15000 рублей."
"Покупка нового набора кастрюль обошлась в 4700₽.","Покупка нового набора кастрюль обошлась в 4700 рублей."
"Стоимость урока плавания составила 900₽ за занятие.","Стоимость урока плавания составила 900 рублей за занятие."
"Мы потратили 870₽ на лекарство от простуды.","Мы потратили 870 рублей на лекарство от простуды."
"На оформление загранпаспорта ушло 3500₽.","На оформление загранпаспорта ушло 3500 рублей."
"Покупка новой компьютерной мыши обошлась в 2400₽.","Покупка новой компьютерной мыши обошлась в 2400 рублей."
"Стоимость набора мебели для сада составила 32000₽.","Стоимость набора мебели для сада составила 32000 рублей."
"Мы заплатили 230₽ за упаковку чая.","Мы заплатили 230 рублей за упаковку чая."
"На оплату курсов английского языка ушло 12000₽.","На оплату курсов английского языка ушло 12000 рублей."
"Покупка нового кошелька обошлась в 1500₽.","Покупка нового кошелька обошлась в 1500 рублей."
"Стоимость абонемента в фитнес-клуб составила 8000₽.","Стоимость абонемента в фитнес-клуб составила 8000 рублей."
"Мы потратили 430₽ на покупку подарочной упаковки.","Мы потратили 430 рублей на покупку подарочной упаковки."
"На услуги переводчика ушло 7500₽.","На услуги переводчика ушло 7500 рублей."
"Покупка набора для рисования обошлась в 1100₽.","Покупка набора для рисования обошлась в 1100 рублей."
"Стоимость обновления программного обеспечения составила 2600₽.","Стоимость обновления программного обеспечения составила 2600 рублей."
"Мы заплатили 1700₽ за ремонт планшета.","Мы заплатили 1700 рублей за ремонт планшета."
"На заказ корпоративного ужина ушло 24000₽.","На заказ корпоративного ужина ушло 24000 рублей."
"Покупка новой подставки для ноутбука обошлась в 1100₽.","Покупка новой подставки для ноутбука обошлась в 1100 рублей."
"Стоимость пошива занавесок составила 8500₽.","Стоимость пошива занавесок составила 8500 рублей."
"Мы потратили 480₽ на материалы для рукоделия.","Мы потратили 480 рублей на материалы для рукоделия."
"На услуги ювелира ушло 1900₽.","На услуги ювелира ушло 1900 рублей."
"Покупка новой куртки обошлась в 7200₽.","Покупка новой куртки обошлась в 7200 рублей."
"Стоимость ночной поездки на такси составила 540₽.","Стоимость ночной поездки на такси составила 540 рублей."
"Мы заплатили 320₽ за услуги химчистки.","Мы заплатили 320 рублей за услуги химчистки."
"На покупку велосипеда ушло 25000₽.","На покупку велосипеда ушло 25000 рублей."
"Покупка электрической зубной щетки обошлась в 3100₽.","Покупка электрической зубной щетки обошлась в 3100 рублей."
"Стоимость подписки на онлайн-курсы составила 1500₽.","Стоимость подписки на онлайн-курсы составила 1500 рублей."
"Мы потратили 600₽ на билеты в зоопарк.","Мы потратили 600 рублей на билеты в зоопарк."
"На ремонт дома ушло 500000₽.","На ремонт дома ушло 500000 рублей."
"Покупка новой газовой плиты обошлась в 28000₽.","Покупка новой газовой плиты обошлась в 28000 рублей."
"Стоимость книги редкого издания составила 8000₽.","Стоимость книги редкого издания составила 8000 рублей."
"Мы заплатили 200₽ за доставку посылки.","Мы заплатили 200 рублей за доставку посылки."
"На услуги по сборке мебели ушло 3500₽.","На услуги по сборке мебели ушло 3500 рублей."
"Покупка нового телевизора обошлась в 42000₽.","Покупка нового телевизора обошлась в 42000 рублей."
"Стоимость новой камеры составила 62000₽.","Стоимость новой камеры составила 62000 рублей."
"Мы потратили 450₽ на небольшой сувенир.","Мы потратили 450 рублей на небольшой сувенир."
"На заказ праздничного костюма ушло 12000₽.","На заказ праздничного костюма ушло 12000 рублей."
"Покупка набора инструментов обошлась в 5600₽.","Покупка набора инструментов обошлась в 5600 рублей."
"Стоимость обручального кольца составила 72000₽.","Стоимость обручального кольца составила 72000 рублей."
"На ремонт обуви ушло 950₽.","На ремонт обуви ушло 950 рублей."
"Мы заплатили 120₽ за литр бензина.","Мы заплатили 120 рублей за литр бензина."
"Стоимость консультации у юриста составила 3500₽.","Стоимость консультации у юриста составила 3500 рублей."
"Покупка набора акриловых красок обошлась в 1600₽.","Покупка набора акриловых красок обошлась в 1600 рублей."
"На оплату коммунальных услуг ушло 5400₽.","На оплату коммунальных услуг ушло 5400 рублей."
"Мы потратили 450₽ на билет в музей.","Мы потратили 450 рублей на билет в музей."
"Стоимость аренды велосипеда на сутки составила 700₽.","Стоимость аренды велосипеда на сутки составила 700 рублей."
"Покупка нового столика для ноутбука обошлась в 2200₽.","Покупка нового столика для ноутбука обошлась в 2200 рублей."
"На услуги косметолога ушло 3000₽.","На услуги косметолога ушло 3000 рублей."
"Мы заплатили 150₽ за коробку вкусного печенья.","Мы заплатили 150 рублей за коробку вкусного печенья."
"Стоимость подписки на музыкальный сервис составила 199₽.","Стоимость подписки на музыкальный сервис составила 199 рублей."
"На заказ книги ушло 450₽.","На заказ книги ушло 450 рублей."
"Покупка новой куртки обошлась в 8300₽.","Покупка новой куртки обошлась в 8300 рублей."
"Стоимость подушки для шеи составила 1200₽.","Стоимость подушки для шеи составила 1200 рублей."
"Мы потратили 380₽ на еженедельный набор продуктов.","Мы потратили 380 рублей на еженедельный набор продуктов."
"На услуги парикмахера ушло 1800₽.","На услуги парикмахера ушло 1800 рублей."
"Покупка новой лампы для чтения обошлась в 1700₽.","Покупка новой лампы для чтения обошлась в 1700 рублей."
"Стоимость билета на спортивное мероприятие составила 2600₽.","Стоимость билета на спортивное мероприятие составила 2600 рублей."
"Мы заплатили 900₽ за упаковку кофе в зернах.","Мы заплатили 900 рублей за упаковку кофе в зернах."
"На пошив костюма ушло 8500₽.","На пошив костюма ушло 8500 рублей."
"Покупка нового ковра для гостиной обошлась в 14800₽.","Покупка нового ковра для гостиной обошлась в 14800 рублей."
"Стоимость разовой консультации у диетолога составила 2500₽.","Стоимость разовой консультации у диетолога составила 2500 рублей."
"Мы потратили 420₽ на подписку на электронную газету.","Мы потратили 420 рублей на подписку на электронную газету."
"На услуги грузчиков ушло 6000₽.","На услуги грузчиков ушло 6000 рублей."
"Покупка новой вазы обошлась в 900₽.","Покупка новой вазы обошлась в 900 рублей."
"Стоимость украшения для праздничного торта составила 450₽.","Стоимость украшения для праздничного торта составила 450 рублей."
"Мы заплатили 300₽ за яркий чехол для телефона.","Мы заплатили 300 рублей за яркий чехол для телефона."
"На ремонт часов ушло 700₽.","На ремонт часов ушло 700 рублей."
"Покупка нового столового сервиза обошлась в 5800₽.","Покупка нового столового сервиза обошлась в 5800 рублей."
"Стоимость урока игры на пианино составила 1200₽.","Стоимость урока игры на пианино составила 1200 рублей."
"Мы потратили 800₽ на два билета в кино.","Мы потратили 800 рублей на два билета в кино."
"На покупку учебников для школы ушло 3200₽.","На покупку учебников для школы ушло 3200 рублей."
"Покупка нового зонта обошлась в 750₽.","Покупка нового зонта обошлась в 750 рублей."
"Стоимость набора постельного белья составила 3500₽.","Стоимость набора постельного белья составила 3500 рублей."
"Мы заплатили 670₽ за доставку еды на дом.","Мы заплатили 670 рублей за доставку еды на дом."
"На заказ букета цветов ушло 2100₽.","На заказ букета цветов ушло 2100 рублей."
"Покупка нового смартфона обошлась в 61000₽.","Покупка нового смартфона обошлась в 61000 рублей."
"Стоимость страховки на автомобиль составила 12000₽.","Стоимость страховки на автомобиль составила 12000 рублей."
"Мы потратили 330₽ на покупку тетрадей и ручек.","Мы потратили 330 рублей на покупку тетрадей и ручек."
"На оплату курсов повышения квалификации ушло 8000₽.","На оплату курсов повышения квалификации ушло 8000 рублей."
"Покупка новой скатерти обошлась в 1800₽.","Покупка новой скатерти обошлась в 1800 рублей."
"Стоимость похода в аквапарк составила 2600₽.","Стоимость похода в аквапарк составила 2600 рублей."
"Мы заплатили 480₽ за набор фломастеров.","Мы заплатили 480 рублей за набор фломастеров."
"На услуги автосервиса ушло 6700₽.","На услуги автосервиса ушло 6700 рублей."
"Покупка книги по дизайну обошлась в 1400₽.","Покупка книги по дизайну обошлась в 1400 рублей."
"Стоимость набора инструментов для ремонта составила 4300₽.","Стоимость набора инструментов для ремонта составила 4300 рублей."
"Мы потратили 220₽ на коробку конфет.","Мы потратили 220 рублей на коробку конфет."
"На услуги визажиста ушло 5000₽.","На услуги визажиста ушло 5000 рублей."
"Покупка набора кастрюль обошлась в 3800₽.","Покупка набора кастрюль обошлась в 3800 рублей."
"Стоимость аренды квадроцикла составила 1500₽ за час.","Стоимость аренды квадроцикла составила 1500 рублей за час."
"Курьерская доставка книги обошлась в 450₽.","Курьерская доставка книги обошлась в 450 рублей."
"Мы заплатили 7300₽ за новые зимние ботинки.","Мы заплатили 7300 рублей за новые зимние ботинки."
"Стоимость ежемесячного абонемента в спортзал составила 2000₽.","Стоимость ежемесячного абонемента в спортзал составила 2000 рублей."
"На покупку проездного билета ушло 2100₽.","На покупку проездного билета ушло 2100 рублей."
"Праздничный ужин в ресторане обошелся в 4700₽.","Праздничный ужин в ресторане обошелся в 4700 рублей."
"Мы потратили 650₽ на заказ цветочного букета.","Мы потратили 650 рублей на заказ цветочного букета."
"Стоимость экскурсии по историческим местам составила 3100₽.","Стоимость экскурсии по историческим местам составила 3100 рублей."
"Покупка нового игрового ноутбука обошлась в 97000₽.","Покупка нового игрового ноутбука обошлась в 97000 рублей."
"На ремонт балкона ушло 15400₽.","На ремонт балкона ушло 15400 рублей."
"Покупка учебных материалов для курсов обошлась в 500₽.","Покупка учебных материалов для курсов обошлась в 500 рублей."
"Стоимость аренды конференц-зала составила 12000₽.","Стоимость аренды конференц-зала составила 12000 рублей."
"Мы заплатили 240₽ за парковку на три часа.","Мы заплатили 240 рублей за парковку на три часа."
"На услуги химчистки ушло 800₽.","На услуги химчистки ушло 800 рублей."
"Покупка нового рюкзака для путешествий обошлась в 5600₽.","Покупка нового рюкзака для путешествий обошлась в 5600 рублей."
"Стоимость набора для рукоделия составила 1900₽.","Стоимость набора для рукоделия составила 1900 рублей."
"Мы потратили 115₽ на бутылку натурального сока.","Мы потратили 115 рублей на бутылку натурального сока."
"На установку новой двери ушло 8400₽.","На установку новой двери ушло 8400 рублей."
"Покупка набора профессиональных кистей для макияжа обошлась в 3100₽.","Покупка набора профессиональных кистей для макияжа обошлась в 3100 рублей."
"Стоимость стрижки в салоне составила 1500₽.","Стоимость стрижки в салоне составила 1500 рублей."
"Мы заплатили 4200₽ за семейную фотосессию.","Мы заплатили 4200 рублей за семейную фотосессию."
"На покупку абонемента в онлайн-кинотеатр ушло 800₽.","На покупку абонемента в онлайн-кинотеатр ушло 800 рублей."
"Покупка набора посуды обошлась в 2600₽.","Покупка набора посуды обошлась в 2600 рублей."
"Стоимость доставки мебели составила 1800₽.","Стоимость доставки мебели составила 1800 рублей."
"Мы потратили 550₽ на такси до аэропорта.","Мы потратили 550 рублей на такси до аэропорта."
"На услуги репетитора ушло 1400₽ за час.","На услуги репетитора ушло 1400 рублей за час."
"Покупка нового обогревателя обошлась в 6700₽.","Покупка нового обогревателя обошлась в 6700 рублей."
"Стоимость проезда на поезде составила 2400₽.","Стоимость проезда на поезде составила 2400 рублей."
"Мы заплатили 950₽ за билеты на выставку.","Мы заплатили 950 рублей за билеты на выставку."
"На покупку набора инструментов ушло 4200₽.","На покупку набора инструментов ушло 4200 рублей."
"Покупка нового пледа для дивана обошлась в 1800₽.","Покупка нового пледа для дивана обошлась в 1800 рублей."
"Стоимость аренды автомобиля на сутки составила 5500₽.","Стоимость аренды автомобиля на сутки составила 5500 рублей."
"Мы потратили 320₽ на покупку декоративных свечей.","Мы потратили 320 рублей на покупку декоративных свечей."
"На услуги переводчика ушло 2000₽ за час работы.","На услуги переводчика ушло 2000 рублей за час работы."
"Покупка набора для пикника обошлась в 3900₽.","Покупка набора для пикника обошлась в 3900 рублей."
"Стоимость одного билета на фестиваль составила 1700₽.","Стоимость одного билета на фестиваль составила 1700 рублей."
"Мы заплатили 800₽ за доставку продуктов.","Мы заплатили 800 рублей за доставку продуктов."
"На ремонт кондиционера ушло 3600₽.","На ремонт кондиционера ушло 3600 рублей."
"Покупка нового набора кухонных полотенец обошлась в 750₽.","Покупка нового набора кухонных полотенец обошлась в 750 рублей."
"Стоимость аренды костюма для вечеринки составила 2900₽.","Стоимость аренды костюма для вечеринки составила 2900 рублей."
"Мы потратили 500₽ на набор канцелярских принадлежностей.","Мы потратили 500 рублей на набор канцелярских принадлежностей."
"На услуги стоматолога ушло 12000₽.","На услуги стоматолога ушло 12000 рублей."
"Покупка нового набора кастрюль обошлась в 4700₽.","Покупка нового набора кастрюль обошлась в 4700 рублей."
"Стоимость месячной подписки на журнал составила 650₽.","Стоимость месячной подписки на журнал составила 650 рублей."
"Мы заплатили 390₽ за упаковку подарка.","Мы заплатили 390 рублей за упаковку подарка."
"На услуги по уборке квартиры ушло 3100₽.","На услуги по уборке квартиры ушло 3100 рублей."
"Покупка новой шторы для спальни обошлась в 4200₽.","Покупка новой шторы для спальни обошлась в 4200 рублей."
"Стоимость билета на концерт классической музыки составила 2500₽.","Стоимость билета на концерт классической музыки составила 2500 рублей."
"Мы потратили 860₽ на ужин в кафе.","Мы потратили 860 рублей на ужин в кафе."
"Услуги по доставке цветов обошлись в 1500₽.","Услуги по доставке цветов обошлись в 1500 рублей."
"Мы заплатили 3200₽ за ремонт ноутбука.","Мы заплатили 3200 рублей за ремонт ноутбука."
"Стоимость семейного отдыха на природе составила 7000₽.","Стоимость семейного отдыха на природе составила 7000 рублей."
"Покупка набора профессиональных ножей для кухни обошлась в 11000₽.","Покупка набора профессиональных ножей для кухни обошлась в 11000 рублей."
"На аренду велосипедов ушло 1200₽ за два часа.","На аренду велосипедов ушло 1200 рублей за два часа."
"Мы потратили 850₽ на покупку настольной игры.","Мы потратили 850 рублей на покупку настольной игры."
"Стоимость абонемента в бассейн составила 5000₽ на месяц.","Стоимость абонемента в бассейн составила 5000 рублей на месяц."
"На услуги курьера ушло 300₽ за доставку документов.","На услуги курьера ушло 300 рублей за доставку документов."
"Покупка нового кресла для офиса обошлась в 7500₽.","Покупка нового кресла для офиса обошлась в 7500 рублей."
"Мы заплатили 220₽ за билет на автобус.","Мы заплатили 220 рублей за билет на автобус."
"На услуги профессионального стилиста ушло 9000₽.","На услуги профессионального стилиста ушло 9000 рублей."
"Покупка развивающих книг для ребенка обошлась в 2000₽.","Покупка развивающих книг для ребенка обошлась в 2000 рублей."
"Стоимость одного занятия в йога-центре составила 800₽.","Стоимость одного занятия в йога-центре составила 800 рублей."
"Мы потратили 550₽ на покупку материалов для рукоделия.","Мы потратили 550 рублей на покупку материалов для рукоделия."
"На ремонт камеры ушло 2500₽.","На ремонт камеры ушло 2500 рублей."
"Покупка нового смартфона обошлась в 45000₽.","Покупка нового смартфона обошлась в 45000 рублей."
"Стоимость набора профессиональных красок составила 1700₽.","Стоимость набора профессиональных красок составила 1700 рублей."
"Мы заплатили 120₽ за бутылку минеральной воды.","Мы заплатили 120 рублей за бутылку минеральной воды."
"На услуги шиномонтажа ушло 1800₽ за замену колес.","На услуги шиномонтажа ушло 1800 рублей за замену колес."
"Покупка набора для барбекю обошлась в 3200₽.","Покупка набора для барбекю обошлась в 3200 рублей."
"Стоимость обеда в ресторане составила 2400₽.","Стоимость обеда в ресторане составила 2400 рублей."
"Мы потратили 670₽ на билеты в кино.","Мы потратили 670 рублей на билеты в кино."
"На услуги по уходу за садом ушло 5000₽.","На услуги по уходу за садом ушло 5000 рублей."
"Покупка нового чемодана обошлась в 8900₽.","Покупка нового чемодана обошлась в 8900 рублей."
"Стоимость аренды помещения для вечеринки составила 15000₽.","Стоимость аренды помещения для вечеринки составила 15000 рублей."
"Мы заплатили 350₽ за кружку горячего шоколада.","Мы заплатили 350 рублей за кружку горячего шоколада."
"На ремонт стиральной машины ушло 4100₽.","На ремонт стиральной машины ушло 4100 рублей."
"Покупка нового шлема для катания на велосипеде обошлась в 2000₽.","Покупка нового шлема для катания на велосипеде обошлась в 2000 рублей."
"Стоимость набора кастрюль составила 6000₽.","Стоимость набора кастрюль составила 6000 рублей."
"Мы потратили 800₽ на подарок для друга.","Мы потратили 800 рублей на подарок для друга."
"На услуги косметолога ушло 3500₽.","На услуги косметолога ушло 3500 рублей."
"Покупка нового игрового контроллера обошлась в 4500₽.","Покупка нового игрового контроллера обошлась в 4500 рублей."
"Стоимость годовой подписки на электронную библиотеку составила 2900₽.","Стоимость годовой подписки на электронную библиотеку составила 2900 рублей."
"Мы заплатили 400₽ за чашку свежесваренного кофе.","Мы заплатили 400 рублей за чашку свежесваренного кофе."
"На аренду лодки ушло 1800₽ за три часа.","На аренду лодки ушло 1800 рублей за три часа."
"Покупка нового костюма для работы обошлась в 12000₽.","Покупка нового костюма для работы обошлась в 12000 рублей."
"Стоимость обучения на онлайн-курсе составила 8500₽.","Стоимость обучения на онлайн-курсе составила 8500 рублей."
"Мы потратили 250₽ на аренду настольного тенниса.","Мы потратили 250 рублей на аренду настольного тенниса."
"На ремонт кухонной техники ушло 3100₽.","На ремонт кухонной техники ушло 3100 рублей."
"Покупка нового чехла для телефона обошлась в 900₽.","Покупка нового чехла для телефона обошлась в 900 рублей."
"Стоимость услуг визажиста составила 1800₽.","Стоимость услуг визажиста составила 1800 рублей."
"Мы заплатили 1600₽ за два билета на концерт.","Мы заплатили 1600 рублей за два билета на концерт."
"На услуги сантехника ушло 4000₽ за устранение утечки.","На услуги сантехника ушло 4000 рублей за устранение утечки."
"Покупка новых зимних шин обошлась в 24000₽ за комплект.","Покупка новых зимних шин обошлась в 24000 рублей за комплект."
"Стоимость часовой прогулки на яхте составила 15000₽.","Стоимость часовой прогулки на яхте составила 15000 рублей."
"Мы потратили 320₽ на покупку нового зарядного устройства.","Мы потратили 320 рублей на покупку нового зарядного устройства."
"На услуги фотографа ушло 5500₽ за фотосессию.","На услуги фотографа ушло 5500 рублей за фотосессию."
"Покупка набора кухонных ножей обошлась в 2200₽.","Покупка набора кухонных ножей обошлась в 2200 рублей."
"Стоимость посещения музея составила 600₽.","Стоимость посещения музея составила 600 рублей."
"Ремонт велосипеда обошелся в 1200₽.","Ремонт велосипеда обошелся в 1200 рублей."
"Мы заплатили 600₽ за экскурсию по городу.","Мы заплатили 600 рублей за экскурсию по городу."
"На услуги грумера для собаки ушло 2500₽.","На услуги грумера для собаки ушло 2500 рублей."
"Покупка двух билетов на поезд обошлась в 3400₽.","Покупка двух билетов на поезд обошлась в 3400 рублей."
"Стоимость годового абонемента в спортзал составила 24000₽.","Стоимость годового абонемента в спортзал составила 24000 рублей."
"Мы потратили 150₽ на покупку набора карандашей.","Мы потратили 150 рублей на покупку набора карандашей."
