"Учреждена в 1959 году в размере 15 000 ₽ (после денежной реформы 1961 года — 1500 ₽).","Учреждена в 1959 году в размере 15 000 рублей (после денежной реформы 1961 года — 1500 рублей)."
"Для того чтобы оплатить учебу в магистратуре, студент потратил 75 000₽ за первый год.","Для того чтобы оплатить учебу в магистратуре, студент потратил 75 000 рублей за первый год."
"На покупку новых материалов для проекта было потрачено 10 000₽, что позволило ускорить работу.","На покупку новых материалов для проекта было потрачено 10 000 рублей, что позволило ускорить работу."
"Для того чтобы заказать еду на праздник, было потрачено 15 000₽, что включало доставку и разнообразие блюд.","Для того чтобы заказать еду на праздник, было потрачено 15 000 рублей, что включало доставку и разнообразие блюд."
"Стоимость аренды экскаватора для строительства составила 30 000₽, что позволило завершить проект в срок.","Стоимость аренды экскаватора для строительства составила 30 000 рублей, что позволило завершить проект в срок."
"Для того чтобы заказать услуги горничной, она заплатила 5000₽ за неделю уборки в своем доме.","Для того чтобы заказать услуги горничной, она заплатила 5000 рублей за неделю уборки в своем доме."
"На оплату консультаций с юристом для решения проблем с недвижимостью было потрачено 10 000₽.","На оплату консультаций с юристом для решения проблем с недвижимостью было потрачено 10 000 рублей."
"Для того чтобы обновить оборудование в компании, было потрачено 150 000₽, что значительно повысило производительность.","Для того чтобы обновить оборудование в компании, было потрачено 150 000 рублей, что значительно повысило производительность."
"Он заплатил 5000₽ за услуги по установке новой системы кондиционирования в доме, что позволило комфортно пережить лето.","Он заплатил 5000 рублей за услуги по установке новой системы кондиционирования в доме, что позволило комфортно пережить лето."
"Стоимость билета на концерт мирового исполнителя составила 8000₽, и это был незабываемый опыт для всех поклонников.","Стоимость билета на концерт мирового исполнителя составила 8000 рублей, и это был незабываемый опыт для всех поклонников."
"Чтобы организовать праздничное мероприятие, компания потратила 35 000₽ на аренду площадки и оформление.","Чтобы организовать праздничное мероприятие, компания потратила 35 000 рублей на аренду площадки и оформление."
"Для того чтобы приобрести новый ноутбук для работы, он потратил 45 000₽, чтобы повысить свою производительность.","Для того чтобы приобрести новый ноутбук для работы, он потратил 45 000 рублей, чтобы повысить свою производительность."
"На оплату услуг по ремонту автомобиля ему пришлось отдать 20 000₽, но все работы были выполнены качественно.","На оплату услуг по ремонту автомобиля ему пришлось отдать 20 000 рублей, но все работы были выполнены качественно."
"Для того чтобы заказать услуги по организации свадьбы, они заплатили 50 000₽, чтобы сделать этот день незабываемым.","Для того чтобы заказать услуги по организации свадьбы, они заплатили 50 000 рублей, чтобы сделать этот день незабываемым."
"Стоимость медицинской страховки на год составила 12 000₽, что обеспечило полное покрытие в случае болезни или травмы.","Стоимость медицинской страховки на год составила 12 000 рублей, что обеспечило полное покрытие в случае болезни или травмы."
"Для того чтобы обучиться новым технологиям в своей профессии, он потратил 30 000₽ на курсы и семинары.","Для того чтобы обучиться новым технологиям в своей профессии, он потратил 30 000 рублей на курсы и семинары."
"Чтобы купить новое оборудование для фитнес-центра, было выделено 100 000₽ на тренажеры и инвентарь.","Чтобы купить новое оборудование для фитнес-центра, было выделено 100 000 рублей на тренажеры и инвентарь."
"На покупку стильной мебели для офиса было потрачено 20 000₽, что улучшило атмосферу и увеличило комфорт.","На покупку стильной мебели для офиса было потрачено 20 000 рублей, что улучшило атмосферу и увеличило комфорт."
"Для того чтобы оплатить аренду нового склада, компания заплатила 60 000₽ за месяц.","Для того чтобы оплатить аренду нового склада, компания заплатила 60 000 рублей за месяц."
"Стоимость аренды круизного лайнера на день составила 100 000₽, чтобы провести корпоратив в стиле морского путешествия.","Стоимость аренды круизного лайнера на день составила 100 000 рублей, чтобы провести корпоратив в стиле морского путешествия."
"Для того чтобы оплатить лечение зубов, ему пришлось заплатить 15 000₽ за несколько сеансов.","Для того чтобы оплатить лечение зубов, ему пришлось заплатить 15 000 рублей за несколько сеансов."
"Стоимость индивидуальных занятий с репетитором составила 4000₽, что позволило улучшить его знания по математике.","Стоимость индивидуальных занятий с репетитором составила 4000 рублей, что позволило улучшить его знания по математике."
"На аренду машины на неделю для путешествия было потрачено 10 000₽, чтобы свободно перемещаться по стране.","На аренду машины на неделю для путешествия было потрачено 10 000 рублей, чтобы свободно перемещаться по стране."
"Для того чтобы заказать разработку уникального логотипа для бизнеса, компания заплатила 15 000₽.","Для того чтобы заказать разработку уникального логотипа для бизнеса, компания заплатила 15 000 рублей."
"Стоимость консультаций с психотерапевтом составила 20 000₽, что помогло ему справиться с личными проблемами.","Стоимость консультаций с психотерапевтом составила 20 000 рублей, что помогло ему справиться с личными проблемами."
"Для того чтобы заплатить за курс повышения квалификации, ей пришлось отдать 25 000₽.","Для того чтобы заплатить за курс повышения квалификации, ей пришлось отдать 25 000 рублей."
"Для того чтобы оплатить домен и хостинг для нового веб-сайта, он потратил 5000₽ за год.","Для того чтобы оплатить домен и хостинг для нового веб-сайта, он потратил 5000 рублей за год."
"На оплату дизайнерских услуг для создания уникального стиля магазина было потрачено 10 000₽.","На оплату дизайнерских услуг для создания уникального стиля магазина было потрачено 10 000 рублей."
"Для того чтобы организовать отдых в европейской столице, они заплатили 40 000₽ за два билета на самолет и проживание в отеле.","Для того чтобы организовать отдых в европейской столице, они заплатили 40 000 рублей за два билета на самолет и проживание в отеле."
"Стоимость оформления патента на изобретение составила 30 000₽, что позволило ему защитить свои интеллектуальные права.","Стоимость оформления патента на изобретение составила 30 000 рублей, что позволило ему защитить свои интеллектуальные права."
"Для того чтобы купить специальное оборудование для стартапа, было потрачено 70 000₽, чтобы обеспечить его эффективность.","Для того чтобы купить специальное оборудование для стартапа, было потрачено 70 000 рублей, чтобы обеспечить его эффективность."
"На ремонт фасада старого дома было потрачено 150 000₽, чтобы восстановить его исторический вид.","На ремонт фасада старого дома было потрачено 150 000 рублей, чтобы восстановить его исторический вид."
"Для того чтобы оплатить обучение на курсах по программированию, он потратил 25 000₽ на годовые занятия.","Для того чтобы оплатить обучение на курсах по программированию, он потратил 25 000 рублей на годовые занятия."
"Стоимость медицинской диагностики и анализов составила 10 000₽, что помогло выявить проблемы на ранней стадии.","Стоимость медицинской диагностики и анализов составила 10 000 рублей, что помогло выявить проблемы на ранней стадии."
"Для того чтобы приобрести новый компьютер для работы, он заплатил 40 000₽ за высокопроизводительную модель.","Для того чтобы приобрести новый компьютер для работы, он заплатил 40 000 рублей за высокопроизводительную модель."
"На покупку бытовой техники для квартиры было потрачено 30 000₽, чтобы создать комфортную среду для жизни.","На покупку бытовой техники для квартиры было потрачено 30 000 рублей, чтобы создать комфортную среду для жизни."
"Для того чтобы установить новый кондиционер, он заплатил 20 000₽, чтобы поддерживать оптимальную температуру в помещении.","Для того чтобы установить новый кондиционер, он заплатил 20 000 рублей, чтобы поддерживать оптимальную температуру в помещении."
"Стоимость ремонта ванной комнаты составила 25 000₽, что позволило сделать ее более функциональной и современной.","Стоимость ремонта ванной комнаты составила 25 000 рублей, что позволило сделать ее более функциональной и современной."
"Для того чтобы оплатить услуги стоматолога, ему пришлось заплатить 18 000₽ за лечение.","Для того чтобы оплатить услуги стоматолога, ему пришлось заплатить 18 000 рублей за лечение."
"На проведение корпоративного мероприятия было потрачено 40 000₽, чтобы создать незабываемую атмосферу для сотрудников.","На проведение корпоративного мероприятия было потрачено 40 000 рублей, чтобы создать незабываемую атмосферу для сотрудников."
"Для того чтобы купить новое спортивное оборудование для фитнес-клуба, компания потратила 30 000₽.","Для того чтобы купить новое спортивное оборудование для фитнес-клуба, компания потратила 30 000 рублей."
"Стоимость подписки на научные журналы составила 15 000₽, чтобы обеспечить сотрудников актуальной информацией.","Стоимость подписки на научные журналы составила 15 000 рублей, чтобы обеспечить сотрудников актуальной информацией."
"Для того чтобы купить новый комплект мебели для дома, она потратила 50 000₽ на комфортное и стильное оформление.","Для того чтобы купить новый комплект мебели для дома, она потратила 50 000 рублей на комфортное и стильное оформление."
"Для того чтобы заказать видеографа для съемки важного события, ей пришлось заплатить 25 000₽ за полный пакет услуг.","Для того чтобы заказать видеографа для съемки важного события, ей пришлось заплатить 25 000 рублей за полный пакет услуг."
"Стоимость ежемесячной подписки на обучающие курсы составила 4000₽, что позволило улучшить навыки.","Стоимость ежемесячной подписки на обучающие курсы составила 4000 рублей, что позволило улучшить навыки."
"Для того чтобы организовать тренинг для сотрудников, компания потратила 12 000₽ на проведение.","Для того чтобы организовать тренинг для сотрудников, компания потратила 12 000 рублей на проведение."
"На закупку инструментов для мастерской было потрачено 50 000₽, чтобы обеспечить качественную работу.","На закупку инструментов для мастерской было потрачено 50 000 рублей, чтобы обеспечить качественную работу."
"Для того чтобы заплатить за аренду квартир, он потратил 30 000₽ за месяц.","Для того чтобы заплатить за аренду квартир, он потратил 30 000 рублей за месяц."
"Стоимость клининговых услуг для уборки офиса составила 7000₽ за один раз, что значительно улучшило состояние помещений.","Стоимость клининговых услуг для уборки офиса составила 7000 рублей за один раз, что значительно улучшило состояние помещений."
